intercept,displacement,cylinders,horsepower,weight,acceleration,model_year,origin_1,origin_2,origin_3,displacement x displacement,displacement x cylinders,displacement x horsepower,displacement x weight,displacement x acceleration,displacement x model_year,displacement x origin_1,displacement x origin_2,displacement x origin_3,cylinders x cylinders,cylinders x horsepower,cylinders x weight,cylinders x acceleration,cylinders x model_year,cylinders x origin_1,cylinders x origin_2,cylinders x origin_3,horsepower x horsepower,horsepower x weight,horsepower x acceleration,horsepower x model_year,horsepower x origin_1,horsepower x origin_2,horsepower x origin_3,weight x weight,weight x acceleration,weight x model_year,weight x origin_1,weight x origin_2,weight x origin_3,acceleration x acceleration,acceleration x model_year,acceleration x origin_1,acceleration x origin_2,acceleration x origin_3,model_year x model_year,model_year x origin_1,model_year x origin_2,model_year x origin_3,mpg
1,307.0,8,130.0,3504,12.0,70,1,0,0,94249.0,2456.0,39910.0,1075728.0,3684.0,21490.0,307.0,0.0,0.0,64,1040.0,28032,96.0,560,8,0,0,16900.0,455520.0,1560.0,9100.0,130.0,0.0,0.0,12278016,42048.0,245280,3504,0,0,144.0,840.0,12.0,0.0,0.0,4900,70,0,0,18.0
1,350.0,8,165.0,3693,11.5,70,1,0,0,122500.0,2800.0,57750.0,1292550.0,4025.0,24500.0,350.0,0.0,0.0,64,1320.0,29544,92.0,560,8,0,0,27225.0,609345.0,1897.5,11550.0,165.0,0.0,0.0,13638249,42469.5,258510,3693,0,0,132.25,805.0,11.5,0.0,0.0,4900,70,0,0,15.0
1,318.0,8,150.0,3436,11.0,70,1,0,0,101124.0,2544.0,47700.0,1092648.0,3498.0,22260.0,318.0,0.0,0.0,64,1200.0,27488,88.0,560,8,0,0,22500.0,515400.0,1650.0,10500.0,150.0,0.0,0.0,11806096,37796.0,240520,3436,0,0,121.0,770.0,11.0,0.0,0.0,4900,70,0,0,18.0
1,304.0,8,150.0,3433,12.0,70,1,0,0,92416.0,2432.0,45600.0,1043632.0,3648.0,21280.0,304.0,0.0,0.0,64,1200.0,27464,96.0,560,8,0,0,22500.0,514950.0,1800.0,10500.0,150.0,0.0,0.0,11785489,41196.0,240310,3433,0,0,144.0,840.0,12.0,0.0,0.0,4900,70,0,0,16.0
1,302.0,8,140.0,3449,10.5,70,1,0,0,91204.0,2416.0,42280.0,1041598.0,3171.0,21140.0,302.0,0.0,0.0,64,1120.0,27592,84.0,560,8,0,0,19600.0,482860.0,1470.0,9800.0,140.0,0.0,0.0,11895601,36214.5,241430,3449,0,0,110.25,735.0,10.5,0.0,0.0,4900,70,0,0,17.0
1,429.0,8,198.0,4341,10.0,70,1,0,0,184041.0,3432.0,84942.0,1862289.0,4290.0,30030.0,429.0,0.0,0.0,64,1584.0,34728,80.0,560,8,0,0,39204.0,859518.0,1980.0,13860.0,198.0,0.0,0.0,18844281,43410.0,303870,4341,0,0,100.0,700.0,10.0,0.0,0.0,4900,70,0,0,15.0
1,454.0,8,220.0,4354,9.0,70,1,0,0,206116.0,3632.0,99880.0,1976716.0,4086.0,31780.0,454.0,0.0,0.0,64,1760.0,34832,72.0,560,8,0,0,48400.0,957880.0,1980.0,15400.0,220.0,0.0,0.0,18957316,39186.0,304780,4354,0,0,81.0,630.0,9.0,0.0,0.0,4900,70,0,0,14.0
1,440.0,8,215.0,4312,8.5,70,1,0,0,193600.0,3520.0,94600.0,1897280.0,3740.0,30800.0,440.0,0.0,0.0,64,1720.0,34496,68.0,560,8,0,0,46225.0,927080.0,1827.5,15050.0,215.0,0.0,0.0,18593344,36652.0,301840,4312,0,0,72.25,595.0,8.5,0.0,0.0,4900,70,0,0,14.0
1,455.0,8,225.0,4425,10.0,70,1,0,0,207025.0,3640.0,102375.0,2013375.0,4550.0,31850.0,455.0,0.0,0.0,64,1800.0,35400,80.0,560,8,0,0,50625.0,995625.0,2250.0,15750.0,225.0,0.0,0.0,19580625,44250.0,309750,4425,0,0,100.0,700.0,10.0,0.0,0.0,4900,70,0,0,14.0
1,390.0,8,190.0,3850,8.5,70,1,0,0,152100.0,3120.0,74100.0,1501500.0,3315.0,27300.0,390.0,0.0,0.0,64,1520.0,30800,68.0,560,8,0,0,36100.0,731500.0,1615.0,13300.0,190.0,0.0,0.0,14822500,32725.0,269500,3850,0,0,72.25,595.0,8.5,0.0,0.0,4900,70,0,0,15.0
1,383.0,8,170.0,3563,10.0,70,1,0,0,146689.0,3064.0,65110.0,1364629.0,3830.0,26810.0,383.0,0.0,0.0,64,1360.0,28504,80.0,560,8,0,0,28900.0,605710.0,1700.0,11900.0,170.0,0.0,0.0,12694969,35630.0,249410,3563,0,0,100.0,700.0,10.0,0.0,0.0,4900,70,0,0,15.0
1,340.0,8,160.0,3609,8.0,70,1,0,0,115600.0,2720.0,54400.0,1227060.0,2720.0,23800.0,340.0,0.0,0.0,64,1280.0,28872,64.0,560,8,0,0,25600.0,577440.0,1280.0,11200.0,160.0,0.0,0.0,13024881,28872.0,252630,3609,0,0,64.0,560.0,8.0,0.0,0.0,4900,70,0,0,14.0
1,400.0,8,150.0,3761,9.5,70,1,0,0,160000.0,3200.0,60000.0,1504400.0,3800.0,28000.0,400.0,0.0,0.0,64,1200.0,30088,76.0,560,8,0,0,22500.0,564150.0,1425.0,10500.0,150.0,0.0,0.0,14145121,35729.5,263270,3761,0,0,90.25,665.0,9.5,0.0,0.0,4900,70,0,0,15.0
1,455.0,8,225.0,3086,10.0,70,1,0,0,207025.0,3640.0,102375.0,1404130.0,4550.0,31850.0,455.0,0.0,0.0,64,1800.0,24688,80.0,560,8,0,0,50625.0,694350.0,2250.0,15750.0,225.0,0.0,0.0,9523396,30860.0,216020,3086,0,0,100.0,700.0,10.0,0.0,0.0,4900,70,0,0,14.0
1,113.0,4,95.0,2372,15.0,70,0,0,1,12769.0,452.0,10735.0,268036.0,1695.0,7910.0,0.0,0.0,113.0,16,380.0,9488,60.0,280,0,0,4,9025.0,225340.0,1425.0,6650.0,0.0,0.0,95.0,5626384,35580.0,166040,0,0,2372,225.0,1050.0,0.0,0.0,15.0,4900,0,0,70,24.0
1,198.0,6,95.0,2833,15.5,70,1,0,0,39204.0,1188.0,18810.0,560934.0,3069.0,13860.0,198.0,0.0,0.0,36,570.0,16998,93.0,420,6,0,0,9025.0,269135.0,1472.5,6650.0,95.0,0.0,0.0,8025889,43911.5,198310,2833,0,0,240.25,1085.0,15.5,0.0,0.0,4900,70,0,0,22.0
1,199.0,6,97.0,2774,15.5,70,1,0,0,39601.0,1194.0,19303.0,552026.0,3084.5,13930.0,199.0,0.0,0.0,36,582.0,16644,93.0,420,6,0,0,9409.0,269078.0,1503.5,6790.0,97.0,0.0,0.0,7695076,42997.0,194180,2774,0,0,240.25,1085.0,15.5,0.0,0.0,4900,70,0,0,18.0
1,200.0,6,85.0,2587,16.0,70,1,0,0,40000.0,1200.0,17000.0,517400.0,3200.0,14000.0,200.0,0.0,0.0,36,510.0,15522,96.0,420,6,0,0,7225.0,219895.0,1360.0,5950.0,85.0,0.0,0.0,6692569,41392.0,181090,2587,0,0,256.0,1120.0,16.0,0.0,0.0,4900,70,0,0,21.0
1,97.0,4,88.0,2130,14.5,70,0,0,1,9409.0,388.0,8536.0,206610.0,1406.5,6790.0,0.0,0.0,97.0,16,352.0,8520,58.0,280,0,0,4,7744.0,187440.0,1276.0,6160.0,0.0,0.0,88.0,4536900,30885.0,149100,0,0,2130,210.25,1015.0,0.0,0.0,14.5,4900,0,0,70,27.0
1,97.0,4,46.0,1835,20.5,70,0,1,0,9409.0,388.0,4462.0,177995.0,1988.5,6790.0,0.0,97.0,0.0,16,184.0,7340,82.0,280,0,4,0,2116.0,84410.0,943.0,3220.0,0.0,46.0,0.0,3367225,37617.5,128450,0,1835,0,420.25,1435.0,0.0,20.5,0.0,4900,0,70,0,26.0
1,110.0,4,87.0,2672,17.5,70,0,1,0,12100.0,440.0,9570.0,293920.0,1925.0,7700.0,0.0,110.0,0.0,16,348.0,10688,70.0,280,0,4,0,7569.0,232464.0,1522.5,6090.0,0.0,87.0,0.0,7139584,46760.0,187040,0,2672,0,306.25,1225.0,0.0,17.5,0.0,4900,0,70,0,25.0
1,107.0,4,90.0,2430,14.5,70,0,1,0,11449.0,428.0,9630.0,260010.0,1551.5,7490.0,0.0,107.0,0.0,16,360.0,9720,58.0,280,0,4,0,8100.0,218700.0,1305.0,6300.0,0.0,90.0,0.0,5904900,35235.0,170100,0,2430,0,210.25,1015.0,0.0,14.5,0.0,4900,0,70,0,24.0
1,104.0,4,95.0,2375,17.5,70,0,1,0,10816.0,416.0,9880.0,247000.0,1820.0,7280.0,0.0,104.0,0.0,16,380.0,9500,70.0,280,0,4,0,9025.0,225625.0,1662.5,6650.0,0.0,95.0,0.0,5640625,41562.5,166250,0,2375,0,306.25,1225.0,0.0,17.5,0.0,4900,0,70,0,25.0
1,121.0,4,113.0,2234,12.5,70,0,1,0,14641.0,484.0,13673.0,270314.0,1512.5,8470.0,0.0,121.0,0.0,16,452.0,8936,50.0,280,0,4,0,12769.0,252442.0,1412.5,7910.0,0.0,113.0,0.0,4990756,27925.0,156380,0,2234,0,156.25,875.0,0.0,12.5,0.0,4900,0,70,0,26.0
1,199.0,6,90.0,2648,15.0,70,1,0,0,39601.0,1194.0,17910.0,526952.0,2985.0,13930.0,199.0,0.0,0.0,36,540.0,15888,90.0,420,6,0,0,8100.0,238320.0,1350.0,6300.0,90.0,0.0,0.0,7011904,39720.0,185360,2648,0,0,225.0,1050.0,15.0,0.0,0.0,4900,70,0,0,21.0
1,360.0,8,215.0,4615,14.0,70,1,0,0,129600.0,2880.0,77400.0,1661400.0,5040.0,25200.0,360.0,0.0,0.0,64,1720.0,36920,112.0,560,8,0,0,46225.0,992225.0,3010.0,15050.0,215.0,0.0,0.0,21298225,64610.0,323050,4615,0,0,196.0,980.0,14.0,0.0,0.0,4900,70,0,0,10.0
1,307.0,8,200.0,4376,15.0,70,1,0,0,94249.0,2456.0,61400.0,1343432.0,4605.0,21490.0,307.0,0.0,0.0,64,1600.0,35008,120.0,560,8,0,0,40000.0,875200.0,3000.0,14000.0,200.0,0.0,0.0,19149376,65640.0,306320,4376,0,0,225.0,1050.0,15.0,0.0,0.0,4900,70,0,0,10.0
1,318.0,8,210.0,4382,13.5,70,1,0,0,101124.0,2544.0,66780.0,1393476.0,4293.0,22260.0,318.0,0.0,0.0,64,1680.0,35056,108.0,560,8,0,0,44100.0,920220.0,2835.0,14700.0,210.0,0.0,0.0,19201924,59157.0,306740,4382,0,0,182.25,945.0,13.5,0.0,0.0,4900,70,0,0,11.0
1,304.0,8,193.0,4732,18.5,70,1,0,0,92416.0,2432.0,58672.0,1438528.0,5624.0,21280.0,304.0,0.0,0.0,64,1544.0,37856,148.0,560,8,0,0,37249.0,913276.0,3570.5,13510.0,193.0,0.0,0.0,22391824,87542.0,331240,4732,0,0,342.25,1295.0,18.5,0.0,0.0,4900,70,0,0,9.0
1,97.0,4,88.0,2130,14.5,71,0,0,1,9409.0,388.0,8536.0,206610.0,1406.5,6887.0,0.0,0.0,97.0,16,352.0,8520,58.0,284,0,0,4,7744.0,187440.0,1276.0,6248.0,0.0,0.0,88.0,4536900,30885.0,151230,0,0,2130,210.25,1029.5,0.0,0.0,14.5,5041,0,0,71,27.0
1,140.0,4,90.0,2264,15.5,71,1,0,0,19600.0,560.0,12600.0,316960.0,2170.0,9940.0,140.0,0.0,0.0,16,360.0,9056,62.0,284,4,0,0,8100.0,203760.0,1395.0,6390.0,90.0,0.0,0.0,5125696,35092.0,160744,2264,0,0,240.25,1100.5,15.5,0.0,0.0,5041,71,0,0,28.0
1,113.0,4,95.0,2228,14.0,71,0,0,1,12769.0,452.0,10735.0,251764.0,1582.0,8023.0,0.0,0.0,113.0,16,380.0,8912,56.0,284,0,0,4,9025.0,211660.0,1330.0,6745.0,0.0,0.0,95.0,4963984,31192.0,158188,0,0,2228,196.0,994.0,0.0,0.0,14.0,5041,0,0,71,25.0
1,232.0,6,100.0,2634,13.0,71,1,0,0,53824.0,1392.0,23200.0,611088.0,3016.0,16472.0,232.0,0.0,0.0,36,600.0,15804,78.0,426,6,0,0,10000.0,263400.0,1300.0,7100.0,100.0,0.0,0.0,6937956,34242.0,187014,2634,0,0,169.0,923.0,13.0,0.0,0.0,5041,71,0,0,19.0
1,225.0,6,105.0,3439,15.5,71,1,0,0,50625.0,1350.0,23625.0,773775.0,3487.5,15975.0,225.0,0.0,0.0,36,630.0,20634,93.0,426,6,0,0,11025.0,361095.0,1627.5,7455.0,105.0,0.0,0.0,11826721,53304.5,244169,3439,0,0,240.25,1100.5,15.5,0.0,0.0,5041,71,0,0,16.0
1,250.0,6,100.0,3329,15.5,71,1,0,0,62500.0,1500.0,25000.0,832250.0,3875.0,17750.0,250.0,0.0,0.0,36,600.0,19974,93.0,426,6,0,0,10000.0,332900.0,1550.0,7100.0,100.0,0.0,0.0,11082241,51599.5,236359,3329,0,0,240.25,1100.5,15.5,0.0,0.0,5041,71,0,0,17.0
1,250.0,6,88.0,3302,15.5,71,1,0,0,62500.0,1500.0,22000.0,825500.0,3875.0,17750.0,250.0,0.0,0.0,36,528.0,19812,93.0,426,6,0,0,7744.0,290576.0,1364.0,6248.0,88.0,0.0,0.0,10903204,51181.0,234442,3302,0,0,240.25,1100.5,15.5,0.0,0.0,5041,71,0,0,19.0
